gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn
Male;Yes;No;No;31;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;907;284515;No
Female;No;No;No;57;Yes;No;DSL;No;Yes;Yes;Yes;Yes;No;Two year;No;Mailed check;6975;38944;No
Female;No;Yes;Yes;45;Yes;No;No;No;No;No;No;No;No;Two year;Yes;Bank transfer (automatic);20;8864;No
Male;No;No;No;10;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;9525;102155;No
Female;No;Yes;No;58;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Credit card (automatic);1021;58854;Yes
Male;No;No;Yes;14;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;1995;2684;No
Male;No;Yes;No;27;Yes;Yes;DSL;Yes;No;No;Yes;Yes;Yes;One year;No;Mailed check;8085;220435;No
Female;No;Yes;Yes;14;Yes;Yes;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);909;1259;Yes
Female;No;Yes;Yes;12;No;No;DSL;No;Yes;No;No;No;No;Month-to-month;No;Mailed check;292;3091;Yes
Female;No;Yes;Yes;69;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;Yes;Two year;Yes;Bank transfer (automatic);933;639805;No
Female;No;Yes;Yes;25;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);8915;225775;Yes
Male;Yes;Yes;No;58;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;One year;Yes;Electronic check;10885;628725;Yes
Female;No;Yes;Yes;35;No;No;DSL;Yes;No;No;Yes;Yes;No;Two year;Yes;Credit card (automatic);4635;166205;No
Female;Yes;No;No;16;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;8475;135015;Yes
Male;No;Yes;Yes;45;Yes;Yes;DSL;No;Yes;Yes;No;Yes;Yes;One year;No;Credit card (automatic);7875;360065;No
Female;No;No;No;17;Yes;No;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;8355;132915;No
Female;No;Yes;Yes;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;457;457;Yes
Male;No;No;No;22;Yes;No;No;No;No;No;No;No;No;One year;No;Mailed check;196;4225;No
Female;Yes;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;6995;6995;Yes
Male;No;Yes;Yes;67;Yes;No;DSL;Yes;No;Yes;Yes;No;Yes;Two year;No;Mailed check;6785;462765;No
Female;No;Yes;Yes;67;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);10565;67179;No
Female;No;Yes;No;2;No;No;DSL;No;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;446;971;Yes
Male;No;No;No;23;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;7495;171045;Yes
Female;Yes;No;No;9;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;No;Credit card (automatic);755;6374;No
Female;No;No;No;5;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;2015;11795;No
Male;No;No;No;54;No;No;DSL;Yes;No;No;Yes;Yes;No;Two year;No;Credit card (automatic);452;246055;No
Female;No;No;No;57;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Two year;Yes;Electronic check;9525;546465;Yes
Male;No;No;No;24;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Mailed check;8985;216505;Yes
Female;No;Yes;Yes;49;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;One year;No;Mailed check;10045;49418;Yes
Male;No;No;No;5;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;4715;22315;Yes
Male;No;No;No;2;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;802;1811;Yes
Female;No;No;Yes;4;Yes;Yes;Fiber optic;No;No;Yes;Yes;No;No;Month-to-month;Yes;Mailed check;871;34145;Yes
Male;No;Yes;Yes;70;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;No;Two year;Yes;Bank transfer (automatic);7925;573185;No
Male;No;No;No;5;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);759;35775;Yes
Male;No;Yes;Yes;53;Yes;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;No;Electronic check;857;46161;No
Female;No;Yes;No;47;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;No;Month-to-month;Yes;Electronic check;9875;45337;Yes
Female;No;No;Yes;31;Yes;No;No;No;No;No;No;No;No;One year;No;Credit card (automatic);201;58925;No
Male;No;Yes;Yes;13;Yes;No;DSL;No;Yes;Yes;Yes;No;No;Month-to-month;No;Bank transfer (automatic);618;7501;No
Female;No;Yes;Yes;28;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check;499;141025;No
Female;No;No;No;10;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;No;Electronic check;8645;83085;Yes
Male;No;Yes;No;38;Yes;No;No;No;No;No;No;No;No;Two year;No;Bank transfer (automatic);204;7435;No
Female;No;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;453;453;Yes
Male;No;Yes;No;67;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;One year;No;Electronic check;1041;704085;Yes
Male;No;Yes;No;52;Yes;No;DSL;Yes;Yes;No;No;Yes;Yes;One year;Yes;Mailed check;754;386545;No
Male;No;Yes;Yes;62;Yes;No;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check;10815;682565;No
Female;No;No;No;16;Yes;No;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;Yes;Electronic check;8625;13401;No
Female;Yes;Yes;No;5;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;81;37165;Yes
Male;No;No;No;12;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;One year;No;Electronic check;957;1184;No
Female;No;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);11685;84777;No
Male;Yes;No;No;71;Yes;Yes;Fiber optic;No;Yes;No;Yes;Yes;Yes;One year;No;Bank transfer (automatic);10575;738285;No
Female;No;Yes;No;24;Yes;No;No;No;No;No;No;No;No;One year;No;Mailed check;2015;45685;No
Female;No;No;No;15;Yes;No;No;No;No;No;No;No;No;Two year;No;Mailed check;196;3316;No
Male;No;Yes;No;67;Yes;No;Fiber optic;Yes;Yes;No;No;No;Yes;One year;Yes;Credit card (automatic);906;605615;Yes
Male;No;No;Yes;2;Yes;Yes;DSL;Yes;Yes;No;No;No;No;Month-to-month;No;Bank transfer (automatic);6095;1346;No
Female;No;Yes;Yes;5;No;No;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check;2505;1255;No
Female;No;Yes;No;15;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;8815;13906;Yes
Male;No;No;No;1;Yes;No;No;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;202;202;Yes
Male;No;Yes;Yes;41;Yes;No;DSL;Yes;Yes;Yes;No;No;No;One year;Yes;Bank transfer (automatic);603;25113;No
Female;No;No;Yes;43;Yes;No;DSL;Yes;Yes;No;No;No;Yes;Month-to-month;Yes;Electronic check;6395;273705;No
Male;Yes;Yes;No;1;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Electronic check;743;743;No
Female;Yes;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;706;706;No
Female;No;Yes;Yes;26;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;908;23618;Yes
Male;No;No;No;22;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;7935;173035;Yes
Male;No;Yes;No;71;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);9055;6404;No
Male;No;No;No;7;Yes;No;No;No;No;No;No;No;No;Two year;No;Mailed check;1945;16535;No
Female;Yes;No;No;28;Yes;Yes;DSL;No;Yes;Yes;Yes;No;No;Month-to-month;No;Bank transfer (automatic);6445;18676;No
Male;Yes;No;No;16;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Electronic check;6965;10433;No
Male;No;No;No;7;Yes;No;No;No;No;No;No;No;No;One year;No;Mailed check;195;1286;No
Female;No;No;No;69;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);1105;745545;No
Female;No;No;Yes;1;No;No;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check;247;247;No
Male;No;No;No;3;Yes;No;DSL;Yes;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;774;20615;No
Male;Yes;No;No;21;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);968;20303;Yes
Female;No;Yes;No;69;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);854;58694;No
Female;No;Yes;No;71;No;No;DSL;Yes;Yes;Yes;Yes;No;No;Two year;Yes;Bank transfer (automatic);476;33778;No
Female;No;Yes;Yes;69;Yes;No;No;No;No;No;No;No;No;Two year;No;Mailed check;194;13462;No
Female;No;No;No;48;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;10385;494605;No
Male;No;Yes;No;47;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);8335;4065;Yes
Female;No;No;No;2;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;494;10655;Yes
Male;No;No;No;45;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Credit card (automatic);10845;49647;No
Male;No;No;No;51;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;No;Bank transfer (automatic);81;408575;No
Female;No;Yes;No;22;Yes;Yes;DSL;Yes;No;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;792;174275;Yes
Male;No;No;No;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);8665;62248;No
Male;No;Yes;Yes;37;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;No;Month-to-month;Yes;Electronic check;9295;341525;No
Male;No;Yes;Yes;71;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Electronic check;9035;632525;No
Male;No;Yes;Yes;7;Yes;No;DSL;No;No;Yes;No;No;No;Month-to-month;No;Electronic check;487;34025;Yes
Female;No;No;No;66;Yes;Yes;No;No;No;No;No;No;No;Two year;Yes;Credit card (automatic);2515;16836;No
Male;No;Yes;Yes;51;Yes;No;DSL;Yes;No;No;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);764;39663;No
Female;No;Yes;Yes;30;Yes;No;No;No;No;No;No;No;No;One year;No;Bank transfer (automatic);1955;6085;No
Female;No;No;No;34;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;No;Electronic check;8535;28966;No
Male;No;Yes;Yes;64;Yes;Yes;No;No;No;No;No;No;No;Two year;Yes;Mailed check;248;151485;No
Male;Yes;Yes;No;65;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;One year;Yes;Bank transfer (automatic);10315;679245;No
Male;No;No;No;47;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;No;Month-to-month;No;Mailed check;10075;46692;No
Female;No;No;No;1;Yes;No;Fiber optic;Yes;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;956;956;Yes
Female;No;No;No;49;Yes;Yes;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Credit card (automatic);5975;29343;Yes
Female;No;Yes;Yes;67;Yes;Yes;Fiber optic;No;Yes;No;Yes;Yes;No;Two year;No;Credit card (automatic);941;63028;No
Male;No;No;Yes;39;Yes;No;No;No;No;No;No;No;No;One year;No;Bank transfer (automatic);1935;7792;No
Male;No;No;No;14;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;199;28375;No
Female;Yes;No;No;43;Yes;No;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Credit card (automatic);10815;46007;Yes
Male;Yes;No;No;56;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;10105;5594;No
Female;No;No;No;14;Yes;No;DSL;No;No;No;Yes;No;Yes;One year;No;Credit card (automatic);591;77285;No
Female;No;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Electronic check;7135;7135;Yes
Male;No;Yes;Yes;16;Yes;No;DSL;Yes;Yes;No;No;No;No;One year;Yes;Mailed check;5585;8578;No
Male;No;Yes;Yes;70;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;10605;755405;No
Male;Yes;Yes;No;72;Yes;Yes;DSL;Yes;Yes;Yes;No;Yes;Yes;Two year;Yes;Credit card (automatic);841;598165;No
Female;No;Yes;Yes;23;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Credit card (automatic);753;17029;No
Male;No;No;Yes;21;Yes;Yes;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;247;46715;No
Female;No;No;No;1;Yes;No;No;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;2015;2015;Yes
Male;No;No;Yes;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);6975;6975;Yes
Female;Yes;Yes;No;32;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;932;2931;Yes
Male;No;Yes;Yes;17;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;No;Electronic check;8085;140085;Yes
Female;No;No;No;4;No;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;3365;13785;Yes
Female;No;No;No;36;Yes;Yes;DSL;No;No;Yes;No;No;No;One year;No;Electronic check;558;19415;No
Female;No;No;No;50;No;No;DSL;No;Yes;Yes;Yes;No;No;Two year;No;Credit card (automatic);397;193275;No
Female;No;Yes;Yes;48;No;No;DSL;No;No;No;Yes;No;No;Month-to-month;Yes;Credit card (automatic);295;142305;No
Female;No;No;Yes;50;Yes;No;No;No;No;No;No;No;No;Two year;No;Credit card (automatic);2015;97085;No
Male;No;Yes;No;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;Yes;Two year;No;Credit card (automatic);7955;58109;No
Male;No;No;Yes;10;Yes;Yes;No;No;No;No;No;No;No;Month-to-month;No;Credit card (automatic);248;2239;No
Female;No;No;No;18;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;1965;3917;No
Male;No;No;No;1;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;7995;7995;Yes
Female;No;No;No;1;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Electronic check;193;193;Yes
Male;No;No;No;9;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;9405;81165;No
Male;No;No;No;2;Yes;Yes;Fiber optic;Yes;No;No;No;No;Yes;Month-to-month;No;Mailed check;9075;17475;No
Female;No;Yes;No;40;Yes;Yes;Fiber optic;No;No;No;Yes;No;No;Month-to-month;Yes;Credit card (automatic);7885;312685;No
Male;No;Yes;No;69;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;One year;No;Bank transfer (automatic);995;684145;No
Female;No;Yes;No;37;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;No;Yes;One year;Yes;Electronic check;992;37546;Yes
Male;No;No;Yes;18;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Credit card (automatic);8055;140665;No
Male;Yes;Yes;No;11;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;702;8347;No
Female;No;Yes;No;8;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Credit card (automatic);852;6274;Yes
Female;No;No;No;3;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Electronic check;7525;242;Yes
Male;No;Yes;Yes;55;Yes;No;DSL;Yes;No;No;No;No;Yes;One year;No;Credit card (automatic);5945;3157;No
Male;No;Yes;No;33;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;9335;3092;No
Female;No;No;No;46;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);4495;21689;No
Male;No;No;No;34;Yes;Yes;No;No;No;No;No;No;No;Two year;No;Bank transfer (automatic);261;98035;No
Female;No;No;No;3;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Electronic check;202;6595;No
Male;No;Yes;Yes;30;Yes;No;No;No;No;No;No;No;No;Two year;No;Mailed check;2125;7119;No
Female;No;No;No;33;Yes;Yes;DSL;Yes;No;No;Yes;No;No;One year;No;Electronic check;594;19528;No
Male;No;Yes;Yes;45;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;Yes;One year;Yes;Credit card (automatic);95;436885;No
Male;No;No;No;40;Yes;No;DSL;Yes;Yes;No;Yes;No;No;Month-to-month;Yes;Mailed check;619;26471;No
Female;No;No;No;71;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;11865;84776;No
Male;No;No;No;1;Yes;Yes;DSL;No;No;Yes;No;No;No;Month-to-month;No;Electronic check;5435;5435;Yes
Female;No;Yes;Yes;72;No;No;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);6445;4528;No
Female;No;Yes;Yes;22;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;8015;179065;No
Male;No;Yes;Yes;46;Yes;No;No;No;No;No;No;No;No;One year;Yes;Bank transfer (automatic);202;8456;No
Female;No;Yes;Yes;55;Yes;No;No;No;No;No;No;No;No;Two year;No;Mailed check;21;12103;No
Male;No;No;No;1;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;2045;2045;No
Female;No;No;No;12;Yes;Yes;DSL;No;No;No;Yes;Yes;Yes;One year;Yes;Mailed check;7585;85445;No
Male;No;No;No;31;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;8045;24291;No
Male;No;Yes;No;5;No;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;2495;1004;Yes
Female;No;Yes;Yes;67;Yes;Yes;DSL;Yes;No;No;No;Yes;Yes;Two year;Yes;Electronic check;755;522945;No
Male;No;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check;4445;4445;No
Male;No;Yes;No;40;No;No;DSL;Yes;Yes;Yes;No;No;No;One year;Yes;Electronic check;4235;171645;Yes
Male;No;Yes;Yes;41;Yes;Yes;DSL;Yes;Yes;Yes;No;Yes;No;Month-to-month;Yes;Credit card (automatic);7455;302355;No
Male;No;No;No;1;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;753;753;Yes
Male;No;No;No;51;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;No;One year;Yes;Electronic check;948;48376;Yes
Male;No;Yes;Yes;42;No;No;DSL;Yes;No;Yes;Yes;Yes;No;Two year;No;Credit card (automatic);4815;20323;No
Male;No;Yes;Yes;23;Yes;No;No;No;No;No;No;No;No;One year;No;Mailed check;1965;4369;No
Female;Yes;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;7055;7055;Yes
Female;No;No;No;1;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;2015;2015;No
Female;No;No;No;56;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);1066;589395;No
Male;No;No;Yes;15;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;91;143005;No
Male;No;Yes;Yes;12;Yes;Yes;No;No;No;No;No;No;No;Two year;Yes;Bank transfer (automatic);254;313;No
Female;No;Yes;Yes;54;Yes;No;DSL;Yes;No;Yes;Yes;No;Yes;Two year;No;Bank transfer (automatic);6995;387185;No
Female;No;No;No;7;Yes;No;DSL;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;6685;4581;No
Female;No;Yes;Yes;33;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;No;Credit card (automatic);8615;27457;Yes
Male;No;Yes;Yes;16;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Electronic check;2015;34135;No
Female;No;No;Yes;21;Yes;No;DSL;Yes;No;Yes;No;No;Yes;One year;No;Mailed check;6485;13368;No
Male;Yes;Yes;No;30;Yes;Yes;DSL;No;No;Yes;No;Yes;Yes;Two year;No;Electronic check;7485;218175;No
Male;No;No;No;3;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;Yes;Mailed check;505;14775;No
Male;No;No;No;11;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;No;Electronic check;729;81845;No
Female;No;No;No;62;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;Yes;Credit card (automatic);11505;713345;No
Male;No;No;No;18;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Electronic check;19;3488;No
Male;No;No;Yes;6;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;1955;1286;No
Female;No;No;No;46;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;One year;Yes;Electronic check;1011;46744;No
Male;No;No;No;21;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;841;173745;No
Male;No;No;No;68;Yes;Yes;No;No;No;No;No;No;No;Two year;Yes;Bank transfer (automatic);2415;149885;No
Female;No;No;No;1;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;501;501;No
Female;No;Yes;No;25;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;746;179775;No
Female;No;No;Yes;24;Yes;No;No;No;No;No;No;No;No;Two year;No;Mailed check;1975;4981;No
Female;No;Yes;No;30;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;85;262425;Yes
Female;No;No;No;2;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;No;Electronic check;8055;1841;Yes
Male;No;Yes;No;51;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;One year;Yes;Bank transfer (automatic);1068;54988;No
Female;No;Yes;Yes;57;Yes;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;845;48454;No
Female;No;No;No;15;Yes;Yes;No;No;No;No;No;No;No;Two year;No;Bank transfer (automatic);2505;3691;No
Female;No;Yes;Yes;72;Yes;No;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);837;60969;No
Female;No;No;No;2;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;758;16075;Yes
Male;No;Yes;No;28;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;No;Month-to-month;No;Credit card (automatic);966;268435;No
Male;Yes;Yes;No;29;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;985;300415;Yes
Male;No;Yes;Yes;70;Yes;No;Fiber optic;Yes;Yes;Yes;Yes;Yes;No;Two year;Yes;Credit card (automatic);1011;69948;No
Female;No;No;No;13;Yes;No;No;No;No;No;No;No;No;One year;No;Mailed check;202;27325;No
Female;Yes;Yes;No;59;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;No;One year;Yes;Electronic check;9405;54839;No
Male;Yes;Yes;No;13;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;9525;123365;Yes
Male;Yes;Yes;No;7;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;744;5279;Yes
Female;No;Yes;No;62;Yes;No;DSL;Yes;No;Yes;Yes;Yes;Yes;Two year;No;Mailed check;81;49859;No
Female;No;No;No;21;Yes;No;DSL;Yes;No;Yes;Yes;No;No;One year;Yes;Electronic check;6025;125835;No
Female;No;No;No;2;Yes;No;DSL;No;No;Yes;No;No;Yes;Month-to-month;No;Electronic check;6085;1114;No
Female;No;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Credit card (automatic);4395;4395;No
Male;No;No;No;4;Yes;No;Fiber optic;No;No;Yes;No;No;Yes;Month-to-month;No;Electronic check;8605;3081;No
Female;No;No;No;19;Yes;No;No;No;No;No;No;No;No;One year;No;Credit card (automatic);2025;38365;No
Female;No;No;No;30;Yes;No;Fiber optic;No;No;No;Yes;Yes;No;Month-to-month;No;Electronic check;8515;25559;Yes
Male;No;Yes;Yes;67;Yes;No;No;No;No;No;No;No;No;Two year;Yes;Credit card (automatic);194;12842;No
Male;Yes;Yes;No;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;No;Yes;Two year;Yes;Credit card (automatic);10265;75503;No
Male;No;Yes;No;53;Yes;No;No;No;No;No;No;No;No;Two year;No;Credit card (automatic);199;111005;No
Female;No;No;No;5;Yes;No;No;No;No;No;No;No;No;One year;No;Electronic check;1955;996;No
Male;Yes;Yes;No;71;Yes;No;Fiber optic;No;Yes;Yes;Yes;No;Yes;Two year;Yes;Credit card (automatic);955;670715;No
Female;No;Yes;Yes;50;Yes;Yes;DSL;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Credit card (automatic);8415;41644;No
Male;No;Yes;Yes;56;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;1032;587375;No
Male;No;No;No;2;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;Yes;Credit card (automatic);502;10925;No
Female;Yes;No;No;2;Yes;Yes;Fiber optic;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;8855;17925;Yes
Male;No;Yes;Yes;24;Yes;Yes;DSL;Yes;No;No;No;No;No;Month-to-month;No;Electronic check;5475;133815;Yes
Male;No;Yes;Yes;46;Yes;No;No;No;No;No;No;No;No;Two year;No;Credit card (automatic);1995;8624;No
Male;No;Yes;No;71;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;11625;856475;No
Female;No;No;No;29;No;No;DSL;No;No;No;Yes;No;No;Month-to-month;Yes;Electronic check;312;9262;No
Male;No;Yes;Yes;69;Yes;Yes;No;No;No;No;No;No;No;Two year;No;Bank transfer (automatic);2445;17182;No
Male;No;Yes;No;71;Yes;Yes;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);842;595685;No
